tileswide 16
tileshigh 16
tilewidth 20
tileheight 20

layer 0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,
128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,
192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,
256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,
320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,
384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,
448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,
512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,
576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,
640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,
704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,
768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,
832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,
896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,
960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,

layer 2
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,
470,470,470,534,538,538,538,538,538,538,538,474,470,470,470,470,
470,470,534,134,65,133,65,192,65,65,65,475,470,470,470,470,
470,470,536,65,130,65,192,192,130,192,130,475,470,470,470,470,
470,470,536,65,65,65,65,192,65,65,65,475,470,470,470,470,
470,470,536,65,193,131,65,193,192,65,65,475,470,470,470,470,
470,470,536,133,65,65,65,65,192,65,133,476,474,470,470,470,
470,470,536,65,65,65,65,65,65,65,65,65,65,474,470,470,
470,470,536,134,65,130,65,65,65,192,65,65,65,475,470,470,
470,470,536,192,65,65,65,65,65,192,133,65,65,475,470,470,
470,470,536,192,65,134,133,192,65,65,65,65,65,475,470,470,
470,534,65,193,65,192,192,65,65,65,131,65,65,475,470,470,
470,472,65,130,193,65,262,65,130,134,134,263,65,475,470,470,
470,470,472,473,65,71,330,203,203,203,203,332,134,475,470,470,
470,470,470,470,472,326,72,72,71,72,71,327,473,471,470,470,
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,

